"Date","Price","Open","High","Low","Vol.","Change %"
"07/29/2022","96.75","95.42","99.75","94.59","116.64K","2.22%"
"07/28/2022","94.65","96.09","97.82","94.28","96.14K","-0.67%"
"07/27/2022","95.29","93.51","96.53","92.30","105.40K","2.59%"
"07/26/2022","92.88","93.95","96.60","92.64","89.07K","-1.63%"
"07/25/2022","94.42","92.83","94.62","90.79","92.70K","2.15%"
"07/22/2022","92.43","93.78","95.24","91.77","106.60K","-1.44%"
"07/21/2022","93.78","96.88","96.93","91.84","106.70K","-6.11%"
"07/20/2022","99.88","100.34","100.72","98.16","315.62K","-0.85%"
"07/19/2022","100.74","98.86","100.99","96.52","327.21K","1.33%"
"07/18/2022","99.42","94.34","99.62","92.88","291.70K","5.13%"
"07/15/2022","94.57","93.51","96.05","91.64","189.25K","1.87%"
"07/14/2022","92.83","94.14","94.49","88.23","255.52K","-1.07%"
"07/13/2022","93.83","93.30","95.34","91.14","187.17K","0.56%"
"07/12/2022","93.31","100.57","100.57","92.83","191.25K","-7.81%"
"07/11/2022","101.21","101.33","102.00","97.94","142.49K","-0.32%"
"07/08/2022","101.53","98.92","101.97","98.40","124.09K","2.30%"
"07/07/2022","99.25","94.62","100.78","93.00","144.92K","4.50%"
"07/06/2022","94.98","97.44","99.11","92.18","166.60K","-1.60%"
"07/05/2022","96.52","105.60","108.28","94.62","199.37K","-12.57%"
"07/04/2022","110.40","108.17","110.77","107.25","","2.04%"
"07/03/2022","108.19","108.67","108.81","108.14","","2.66%"
"07/01/2022","105.39","103.33","106.26","101.94","99.69K","2.22%"
"06/30/2022","103.10","106.67","107.76","102.68","156.01K","-3.65%"
"06/29/2022","107.01","109.00","111.14","106.45","101.28K","-1.73%"
"06/28/2022","108.89","107.00","109.31","106.59","107.61K","2.36%"
"06/27/2022","106.38","104.37","107.28","102.48","90.13K","1.85%"
"06/24/2022","104.45","101.31","105.44","100.84","116.65K","2.83%"
"06/23/2022","101.58","102.53","104.62","100.24","120.06K","-2.32%"
"06/22/2022","103.99","107.33","107.56","99.66","141.20K","-5.05%"
"06/21/2022","109.52","108.75","111.16","106.82","427.26K","0.62%"
"06/20/2022","108.84","108.97","109.17","106.84","","-0.09%"
"06/19/2022","108.94","108.97","109.34","108.78","","0.88%"
"06/17/2022","107.99","114.74","116.58","106.40","426.00K","-6.30%"
"06/16/2022","115.25","114.09","115.73","110.43","291.85K","1.91%"
"06/15/2022","113.09","116.41","116.93","112.37","198.93K","-2.73%"
"06/14/2022","116.26","118.45","120.88","114.20","203.95K","-1.68%"
